"reference.position","ref.pos.x","ref.pos.y","ref.pos.z","measure.pos.x","measure.pos.y","measure.pos.z","sol.arm_1_joint","sol.arm_2_joint","sol.arm_3_joint","sol.arm_4_joint","sol.arm_5_joint","sol.arm_6_joint","sol.arm_7_joint","meas.arm_1_joint","meas.arm_2_joint","meas.arm_3_joint","meas.arm_4_joint","meas.arm_5_joint","meas.arm_6_joint","meas.arm_7_joint"
"No. 0 - Frame: table_link","0.0","0.02","0.0","-0.0004897605729","0.0202299754009","0.000581847436614","5.61179722323","-0.189513677726","-5.96292812965","-1.25858070102","3.39153915951","1.0596286937","-1.75352405573","5.6121544838","-0.189558908343","-5.96228218079","-1.25732517242","3.39129257202","1.05943953991","-1.75408732891"
"No. 0 - Frame: table_link","0.0","0.02","0.0","-0.00057156327087","0.0202315177217","0.000595848262757","5.61179722323","-0.189513677726","-5.96292812965","-1.25858070102","3.39153915951","1.0596286937","-1.75352405573","5.61227560043","-0.189543113112","-5.96229743958","-1.25730001926","3.39136648178","1.05943953991","-1.75357425213"
"No. 0 - Frame: table_link","0.0","0.02","0.0","-0.000469784349341","0.0202042884322","0.000541699725284","5.61179722323","-0.189513677726","-5.96292812965","-1.25858070102","3.39153915951","1.0596286937","-1.75352405573","5.6123175621","-0.189543113112","-5.96249294281","-1.25743055344","3.39129257202","1.05941677094","-1.75351142883"
"No. 0 - Frame: table_link","0.0","0.02","0.0","-0.000615171220802","0.0202588224253","0.000604957776293","5.61179722323","-0.189513677726","-5.96292812965","-1.25858070102","3.39153915951","1.0596286937","-1.75352405573","5.61229133606","-0.189501002431","-5.96231746674","-1.2572748661","3.39149737358","1.0594907999","-1.75404548645"
"No. 0 - Frame: table_link","0.0","0.02","0.0","-0.000199604450259","0.0203141329554","0.000622748473503","5.61179722323","-0.189513677726","-5.96292812965","-1.25858070102","3.39153915951","1.0596286937","-1.75352405573","5.61172819138","-0.189537853003","-5.96244287491","-1.2572748661","3.39137792587","1.059450984","-1.75347995758"
"No. 1 - Frame: table_link","0.1305","0.02","-0.1305","0.130807928151","0.0199877023499","-0.130418296578","5.24453215322","-0.0907598773302","-6.04530474514","-1.70651845613","3.76971538104","0.944821525842","-2.40563823235","5.24434900284","-0.0912314727902","-6.04497480392","-1.70568501949","3.76838612556","0.944811284542","-2.40515089035"
"No. 1 - Frame: table_link","0.1305","0.02","-0.1305","0.130809772956","0.0199671054671","-0.130431433469","5.24453215322","-0.0907598773302","-6.04530474514","-1.70651845613","3.76971538104","0.944821525842","-2.40563823235","5.24439144135","-0.0912893787026","-6.04501008987","-1.70567500591","3.76838040352","0.944839715958","-2.40509867668"
"No. 1 - Frame: table_link","0.1305","0.02","-0.1305","0.130797106772","0.0200007692785","-0.130401735136","5.24453215322","-0.0907598773302","-6.04530474514","-1.70651845613","3.76971538104","0.944821525842","-2.40563823235","5.24438047409","-0.0911946296692","-6.04499006271","-1.70566999912","3.76838612556","0.944805562496","-2.40434455872"
"No. 1 - Frame: table_link","0.1305","0.02","-0.1305","0.13078749305","0.0200358665229","-0.130392806488","5.24453215322","-0.0907598773302","-6.04530474514","-1.70651845613","3.76971538104","0.944821525842","-2.40563823235","5.24429655075","-0.0910998731852","-6.04492998123","-1.70569002628","3.76839756966","0.944811284542","-2.40520334244"
"No. 1 - Frame: table_link","0.1305","0.02","-0.1305","0.130700825425","0.0199407870263","-0.130414223948","5.24453215322","-0.0907598773302","-6.04530474514","-1.70651845613","3.76971538104","0.944821525842","-2.40563823235","5.24436998367","-0.0912525355816","-6.04474925995","-1.70569515228","3.76836323738","0.944822669029","-2.40520334244"
