"id","object","sdh_knuckle_joint","sdh_finger_12_joint","sdh_finger_13_joint","sdh_finger_22_joint","sdh_finger_23_joint","sdh_thumb_2_joint","sdh_thumb_3_joint","direction","qw","qx","qy","qz","pos-x","pos-y","pos-z","eps_l1","vol_l1","iterationstep","energy"
"0","fanta-small","0.796823","-0.54162","1.006636","-0.594745","0.953511","-0.53912","1.009136","SIDE","0.448842","0.002001","-0.009264","0.893561","13.971437","137.549773","-219.164663","0.116","0.0187","46","-12.129"
"1","fanta-small","0.614409","-0.246418","1.372387","-0.373918","1.027387","-0.293918","1.074887","SIDE","0.997105","0.069881","0.013132","0.026943","2.574632","189.110472","-158.358653","0.151","0.0663","192","-17.089"
"2","fanta-small","0.622659","-0.41161","1.435431","-0.39411","1.197931","-0.35911","1.247931","SIDE","0.998602","0.048923","0.004074","-0.019589","9.753855","105.892941","-156.943255","0.17","0.122","179","-20.656"
"3","fanta-small","0.804288","-0.290437","1.091869","-0.431687","0.888119","-0.515437","0.894369","TOP","0.882907","0.430842","0.156587","-0.101635","-16.793364","233.464307","-117.888824","0.142","0.106","133","-17.344"
"4","fanta-small","0.425852","-0.528027","0.743563","-0.505215","0.766376","-0.356152","0.915438","SIDE","0.950473","0.082339","-0.288197","0.082241","113.757926","173.063386","-185.294739","0.109","0.0186","76","-11.467"
"5","fanta-small","0.506302","-0.364993","1.504803","-0.466243","1.446053","-0.361243","1.429803","SIDE","0.998817","0.035676","-0.032945","0.002412","18.56579","140.696046","-149.439441","0.153","0.0991","45","-18.242"
"6","fanta-small","0.551757","-0.336329","1.301919","-0.270079","1.216919","-0.428204","1.304419","SIDE","0.992634","0.00926","-0.120525","0.008131","51.679324","95.105683","-148.948993","0.171","0.096","180","-19.97"
"7","fanta-small","0.963469","-0.481026","1.281581","-0.382276","1.054081","-0.349776","0.984081","SIDE","0.822012","-0.112698","-0.282995","0.481154","80.802457","126.756733","-143.251883","0.168","0.0997","185","-19.756"
"8","fanta-small","0.50788","-0.407928","0.944838","-0.342928","1.196088","-0.302928","1.032338","SIDE","0.739712","-0.050794","-0.670915","-0.010932","162.172898","91.276393","-6.437315","0.17","0.105","107","-20.189"
"9","fanta-small","0.639212","-0.446914","1.357558","-0.489414","1.510058","-0.331914","1.282558","SIDE","0.957595","-0.02003","-0.287119","-0.013181","92.480404","102.592297","-124.021329","0.164","0.142","160","-20.625"
"10","fanta-small","0.575211","-0.340648","1.449368","-0.413148","1.249368","-0.251898","1.120618","SIDE","0.827826","-0.017418","-0.556805","0.066093","146.32031","172.578594","-55.883979","0.116","0.0746","104","-18.004"
"11","fanta-small","0.530973","-0.375581","0.879108","-0.392456","1.287858","-0.301831","0.970358","SIDE","0.775576","-0.064501","-0.626287","-0.045679","159.973615","83.423831","-24.70487","0.132","0.0696","179","-15.329"
"12","fanta-small","0.530817","-0.376276","0.992142","-0.395651","0.917767","-0.477683","0.835736","SIDE","0.806603","0.249354","-0.492766","0.210703","143.075739","217.405407","-63.80171","0.142","0.0462","155","-15.54"
"13","fanta-small","0.748054","-0.314869","1.532288","-0.352369","1.212288","-0.394869","1.353538","SIDE","0.916285","0.073876","-0.385116","0.081539","112.402242","179.280758","-97.467646","0.123","0.0735","149","-14.554"
"14","fanta-small","0.724591","-0.279062","1.486613","-0.372812","1.054113","-0.512187","1.480363","SIDE","0.870008","0.13435","-0.472033","0.047116","130.877668","173.354619","-66.622561","0.163","0.0985","156","-19.246"
"15","fanta-small","0.529711","-0.498877","1.570796","-0.473252","1.159883","-0.293252","1.231133","SIDE","0.996471","0.075077","0.003929","-0.037332","5.394338","123.67394","-154.285725","0.118","0.0809","32","-14.179"
"16","fanta-small","0.480318","-0.387879","1.116025","-0.366629","1.298525","-0.306629","1.073525","SIDE","0.999383","-0.029912","-0.008561","0.016308","12.544733","72.31753","-160.213938","0.169","0.111","106","-20.242"
"17","fanta-small","0.594265","-0.368626","1.231838","-0.458626","1.109338","-0.309876","1.071838","SIDE","0.934289","0.046208","-0.352961","-0.019689","113.522667","98.685055","-114.688673","0.167","0.112","178","-20.102"
"18","fanta-small","0.476027","-0.478425","0.779037","-0.429675","0.827787","-0.420925","0.836537","SIDE","0.79581","0.090949","-0.591526","0.092255","210.885228","156.515391","-56.557593","0.108","0.0171","148","-11.292"
"19","fanta-small","0.696459","-0.478047","0.798481","-0.485547","0.790981","-0.483985","0.792543","SIDE","0.29215","-0.70804","-0.367524","0.527498","201.857901","137.326295","71.72606","0.0816","0.0168","91","-8.668"
"20","fanta-small","0.682359","-0.499029","0.828467","-0.562779","0.764717","-0.416842","0.910654","SIDE","0.096174","0.793559","0.100038","-0.592458","200.035961","150.715858","56.147905","0.106","0.0247","141","-11.304"
"21","fanta-small","0.656809","-0.435119","0.869201","-0.465119","1.184201","-0.260119","0.994201","SIDE","0.010889","0.642453","0.05659","-0.764155","161.420785","143.897031","-31.29143","0.105","0.0664","171","-12.566"
"22","fanta-small","0.49283","-0.458173","0.839778","-0.489736","0.852278","-0.408173","0.889778","SIDE","0.104934","0.521838","0.281672","-0.798332","153.516799","223.897693","-62.024106","0.141","0.0434","151","-15.415"
"23","fanta-small","0.464526","-0.424317","0.955673","-0.498692","0.881298","-0.455567","0.924423","SIDE","0.249076","0.777415","0.211224","-0.537561","165.238985","240.541813","58.736894","0.0628","0.0123","117","-6.634"
"24","fanta-small","0.617763","-0.504142","0.837633","-0.500392","1.181696","-0.40758","0.934196","SIDE","0.279133","0.835822","0.169977","-0.441129","122.937788","231.470185","82.88401","0.134","0.0557","199","-15.076"
"25","fanta-small","0.960175","-0.368403","1.285055","-0.528403","1.051305","-0.532153","0.822555","TOP","0.384142","-0.112599","-0.699903","0.591517","121.038617","241.355373","-16.278156","0.135","0.108","177","-16.702"
"26","fanta-small","0.597123","-0.477969","0.814455","-0.511094","0.78133","-0.399844","0.89258","SIDE","0.901171","-0.095535","-0.421897","-0.027701","164.752465","85.675315","-132.976602","0.116","0.0187","60","-12.185"
"27","fanta-small","0.646952","-0.531914","0.793285","-0.443789","0.935473","-0.403477","0.921723","SIDE","0.186622","0.672828","0.165229","-0.696545","170.472892","185.601618","-13.695346","0.153","0.0644","117","-17.277"
"28","fanta-small","1.140506","-0.551925","1.359471","-0.345675","1.208221","-0.523175","1.413221","SIDE","0.866356","-0.06556","-0.116591","0.481182","31.256531","112.87707","-155.653017","0.165","0.12","169","-19.949"
"29","fanta-small","0.503197","-0.519701","0.776116","-0.415951","1.449866","-0.273451","1.388616","SIDE","0.833439","-0.322962","-0.429532","0.128752","124.508309","106.545157","-75.391019","0.11","0.0479","141","-12.462"
"30","fanta-small","0.685189","-0.524509","0.860227","-0.478884","0.905852","-0.465446","0.91929","SIDE","0.963042","0.016355","-0.259608","0.069895","114.788995","135.253366","-182.9949","0.12","0.0177","180","-12.484"
"31","fanta-small","0.693113","-0.552476","1.338065","-0.504351","0.870252","-0.424038","0.950565","SIDE","0.908468","0.314934","0.267975","-0.060754","-80.017293","226.31573","-125.988157","0.145","0.0596","171","-16.235"
"32","fanta-small","0.45572","-0.477086","1.19905","-0.359586","1.27655","-0.308336","1.14905","SIDE","0.059405","0.599397","-0.002513","-0.79824","149.616441","94.458806","-52.994273","0.167","0.117","132","-20.347"
"33","fanta-small","0.489133","-0.460392","1.410382","-0.382892","1.214132","-0.291642","1.181632","SIDE","0.912628","0.02824","-0.405938","0.039069","120.221768","131.136958","-99.012102","0.167","0.109","131","-19.944"
"34","fanta-small","0.540247","-0.515129","1.445391","-0.525129","1.344141","-0.268879","1.197891","SIDE","0.957803","0.022879","-0.286514","5.1e-05","90.302401","86.381831","-127.856605","0.175","0.135","137","-21.520"
"35","fanta-small","0.830586","-0.458903","0.852492","-0.452028","0.859367","-0.445466","0.86593","SIDE","0.129813","0.292627","-0.289202","0.902153","-99.579944","229.414439","-128.343511","0.138","0.0507","177","-15.300"
"36","fanta-small","0.660254","-0.440326","0.820824","-0.459545","0.801605","-0.415951","0.845199","SIDE","0.861842","0.011912","-0.501032","0.077806","192.354394","169.451253","-104.697078","0.109","0.0154","124","-11.323"
"37","fanta-small","0.452402","-0.410141","0.989748","-0.493266","0.995998","-0.248891","1.065998","SIDE","0.041096","-0.007968","-0.999106","0.005906","13.860367","132.564434","166.327082","0.0993","0.0663","157","-11.920"
"38","fanta-small","0.536816","-0.418436","0.949016","-0.365311","1.002141","-0.509061","0.858391","SIDE","0.023459","-0.440163","-0.04994","0.896221","156.840254","185.283654","-143.678291","0.0888","0.0115","199","-9.241"
"39","fanta-small","0.468145","-0.169881","1.223103","-0.287381","1.149353","-0.527381","1.450603","SIDE","0.931794","0.033359","0.357773","-0.051436","-89.980083","137.278886","-127.909722","0.16","0.0928","52","-18.744"
"40","fanta-small","0.536678","-0.354594","1.485093","-0.313344","1.223843","-0.325844","1.261343","SIDE","0.433059","0.09974","0.895674","0.016757","-126.297708","161.893016","91.055838","0.153","0.0744","142","-17.523"
"41","fanta-small","0.588601","-0.303533","1.072666","-0.207283","1.261416","-0.534158","0.842041","SIDE","0.239281","0.919373","0.156741","-0.270055","90.10041","215.300722","108.813527","0.0895","0.0561","185","-10.631"
"42","fanta-small","1.175983","-0.455278","0.817196","-0.469653","1.065946","-0.457778","0.814696","SIDE","0.304293","0.85672","0.410838","-0.068186","-37.601051","226.952181","153.016344","0.135","0.052","192","-15.05"
"43","fanta-small","0.440832","-0.468255","1.536972","-0.48138","1.334472","-0.228255","1.216972","SIDE","0.541223","0.045786","0.839244","-0.025527","-141.181878","148.178333","59.634729","0.164","0.0972","166","-19.371"
"44","fanta-small","0.683759","-0.477284","0.800593","-0.418221","0.859656","-0.447909","0.829968","SIDE","0.690767","-0.002776","0.718074","0.08487","-206.586173","93.762703","-5.957823","0.0933","0.0159","180","-9.810"
"45","fanta-small","0.561649","-0.428789","0.871487","-0.430352","0.869924","-0.452852","0.847424","SIDE","0.656411","0.176869","0.720567","-0.136473","-198.101151","223.09987","10.044124","0.102","0.0132","168","-10.634"
