"id","object","sdh_knuckle_joint","sdh_finger_12_joint","sdh_finger_13_joint","sdh_finger_22_joint","sdh_finger_23_joint","sdh_thumb_2_joint","sdh_thumb_3_joint","direction","qw","qx","qy","qz","pos-x","pos-y","pos-z","eps_l1","vol_l1","iterationstep","energy"
"0","mildessa","0.613129","-0.742882","1.015285","-0.713976","1.044192","-0.608664","1.149504","SIDE","0.713105","-0.011638","-0.648548","0.265954","197.446875","125.850486","-43.047059","0.14","0.157","116","-18.740"
"1","mildessa","0.462741","-0.401797","0.937501","-0.581797","0.757501","-0.59461","1.081251","TOP","0.93807","0.306924","-0.123968","0.10224","30.574398","205.142873","-121.801277","0.231","0.265","157","-31.07"
"2","mildessa","0.574949","-0.550643","1.090385","-0.609393","0.992885","-0.609393","1.087885","SIDE","0.997529","0.056282","0.018882","0.037583","2.820921","102.836976","-164.044561","0.238","0.823","139","-48.475"
"3","mildessa","0.451829","-0.104108","1.197415","-0.425983","0.92679","-0.407233","0.89429","SIDE","0.773573","0.223743","0.46915","0.362522","-170.272802","136.045302","-54.739813","0.0","0.0","199","-2.865"
"4","mildessa","0.471969","-0.671629","1.032838","-0.693817","1.01065","-0.655692","1.048775","SIDE","0.998062","0.046114","-0.037408","0.018599","23.101479","93.454491","-200.093334","0.198","0.151","176","-24.313"
"5","mildessa","0.557473","-0.496184","0.877805","-0.529309","0.75593","-0.569309","0.817805","SIDE","0.968604","0.085394","0.233151","0.012451","-68.277766","106.006292","-158.525474","0.311","0.561","130","-47.942"
"6","mildessa","0.552367","-0.54633","1.023025","-0.618205","1.163025","-0.574455","1.135525","SIDE","0.957646","0.065332","-0.16354","0.227818","42.307343","115.633689","-148.627073","0.205","0.495","189","-35.326"
"7","mildessa","0.51903","0.052821","1.502442","-0.529054","1.009317","-0.599679","1.054317","SIDE","0.807577","-0.136168","-0.536259","0.204217","154.256617","145.332212","-63.934323","0.161","0.202","104","-22.131"
"8","mildessa","0.827963","-0.663877","1.364356","-0.510752","0.856856","-0.580752","0.889356","SIDE","0.974946","0.015216","0.038513","0.218553","-11.686322","76.442724","-172.001656","0.282","0.771","172","-51.305"
"9","mildessa","0.449442","-0.549473","0.964779","-0.66166","0.852592","-0.55041","0.973529","TOP","0.952473","0.300043","-0.033342","0.040719","9.377391","184.205044","-139.176988","0.283","0.394","193","-40.152"
"10","mildessa","0.45749","-0.584046","1.151668","-0.636546","0.919168","-0.631546","1.159168","SIDE","0.996952","0.06724","-0.036276","-0.015785","22.308092","103.311414","-162.862799","0.323","0.972","148","-61.53"
"11","mildessa","0.52197","-0.608234","1.048315","-0.591984","1.088315","-0.591984","1.064565","SIDE","0.047165","-0.056505","-0.023466","0.997011","8.651904","88.404013","-166.083547","0.361","0.812","194","-60.482"
"12","mildessa","0.461749","-0.524267","0.945199","-0.534579","0.934886","-0.573642","0.895824","SIDE","0.050625","-0.580362","-0.148848","0.799038","156.264951","114.336983","-54.876868","0.153","0.24","179","-22.504"
"13","mildessa","0.547702","-0.637646","0.880672","-0.626396","1.072234","-0.546084","0.972234","SIDE","0.242794","0.02626","-0.014858","0.969609","-0.124381","75.593776","-193.227104","0.256","0.377","171","-36.887"
"14","mildessa","0.437935","-0.674153","1.294875","-0.730403","1.279875","-0.630403","1.226125","SIDE","0.04445","0.302622","0.03032","0.951591","-103.026434","69.350495","-127.540467","0.402","0.948","183","-68.598"
"15","mildessa","0.40625","-0.587552","1.126092","-0.653802","1.084842","-0.615052","1.101092","SIDE","0.052493","0.00915","0.021645","0.998345","-14.823768","65.166553","-166.491187","0.413","1.04","164","-72.142"
"16","mildessa","0.671498","-0.617331","1.152742","-0.427956","1.053992","-0.609831","1.185242","SIDE","0.07504","-0.696407","-0.22215","0.678259","153.401649","126.426894","12.359064","0.234","0.431","188","-36.327"
"17","mildessa","0.707712","-0.497901","1.258227","-0.562901","1.060727","-0.614151","1.103227","SIDE","0.963536","-0.003048","0.0404","0.264493","-15.687398","82.15982","-166.461039","0.322","0.882","88","-55.098"
"18","mildessa","0.606663","-0.606708","1.187091","-0.609208","1.159591","-0.70952","1.141779","SIDE","0.983127","0.121313","-0.100619","0.092849","42.429989","119.924311","-152.532426","0.232","0.598","144","-41.145"
"19","mildessa","0.563599","-0.670944","1.005718","-0.659069","1.017593","-0.602194","1.074468","TOP","0.1726","0.759817","0.334847","-0.529873","135.050007","211.660888","83.477176","0.206","0.131","183","-24.443"
"20","mildessa","0.584927","-0.554895","0.907878","-0.608958","0.853816","-0.563333","0.899441","TOP","0.478467","0.294166","0.810712","-0.165172","-124.258363","194.272644","92.595197","0.195","0.116","188","-20.329"
"21","mildessa","0.510612","-0.573656","1.115248","-0.627406","1.187748","-0.607406","1.115248","SIDE","0.377402","0.060421","0.920861","0.077023","-125.520023","66.119218","113.793906","0.191","0.716","199","-40.652"
"22","mildessa","0.530503","-0.566362","1.138018","-0.646362","1.058018","-0.661675","1.066768","TOP","0.249993","0.152219","0.926723","-0.235621","-74.588403","164.224829","124.071144","0.295","0.408","191","-41.805"
"23","mildessa","0.690698","-0.509544","0.834891","-0.552669","0.791766","-0.562669","0.781766","SIDE","0.403298","0.214643","0.885309","0.086641","-159.416863","70.892135","140.118763","0.196","0.148","194","-23.950"
"24","mildessa","0.446182","-0.351394","1.4203","-0.042019","1.3353","-0.413269","0.96405","TOP","0.261636","0.675455","0.614769","-0.312036","-47.46806","227.04455","81.852491","0.0","0.0","193","-0.252"
"25","mildessa","0.587381","-0.6373","0.920782","-0.649175","0.908907","-0.568237","0.989845","SIDE","0.196087","0.27766","0.920368","-0.193334","-37.671189","163.826564","156.170535","0.196","0.135","137","-23.708"
"26","mildessa","0.533861","-0.711178","1.059073","-0.647115","1.123136","-0.701178","1.069073","SIDE","0.412439","0.293215","0.850552","-0.143107","-120.547071","169.739556","116.540005","0.209","0.152","138","-25.36"
"27","mildessa","0.452909","-0.532681","1.012242","-0.616431","0.776929","-0.483619","0.909742","SIDE","0.529395","0.138801","0.830669","0.102293","-169.938523","74.168607","87.046354","0.147","0.327","168","-24.51"
"28","mildessa","0.602955","-0.547697","0.922813","-0.545197","0.925313","-0.625822","0.844688","TOP","0.088324","0.104612","0.912127","-0.386368","-30.428891","224.333484","136.259862","0.136","0.148","144","-18.125"
"29","mildessa","0.401845","-0.679808","1.063836","-0.673245","0.995711","-0.60762","1.061336","SIDE","0.237627","0.075217","0.960588","-0.123069","-84.238584","119.376241","150.446355","0.255","0.399","150","-35.898"
"30","mildessa","0.972611","-0.514967","1.081487","-0.607467","0.988987","-0.623405","1.073987","SIDE","0.974675","0.117591","0.080932","0.172139","-28.27434","117.475939","-155.592188","0.255","0.295","154","-34.357"
"31","mildessa","0.636848","-0.412861","0.892813","-0.480049","0.885625","-0.582549","0.723125","SIDE","0.508816","0.33066","0.794729","-0.013267","-132.063525","155.710356","79.202328","0.192","0.466","180","-33.222"
"32","mildessa","0.447699","-0.516478","0.95667","-0.579603","0.893545","-0.593353","0.879795","TOP","0.617041","0.286393","0.713468","-0.167937","-152.880096","218.750777","30.694951","0.171","0.115","194","-20.517"
"33","mildessa","0.566304","-0.644781","0.895967","-0.626031","1.010342","-0.606031","0.934717","TOP","0.163062","0.289371","0.827051","-0.4535","2.448787","231.421501","101.497418","0.202","0.435","165","-33.26"
"34","mildessa","0.550454","-0.664402","1.16755","-0.694402","1.13755","-0.718777","1.113175","SIDE","0.199494","0.92568","0.017552","0.320952","-119.455881","153.604866","160.316095","0.167","0.136","190","-20.824"
"35","mildessa","0.452994","-0.524791","0.838238","-0.566353","1.011988","-0.575103","0.856988","TOP","0.457043","0.812847","-0.152614","0.327262","-73.361785","228.437602","80.264577","0.183","0.631","177","-37.177"
"36","mildessa","0.458984","-0.496369","0.934058","-0.475744","0.954683","-0.609181","0.851245","TOP","0.292474","0.932897","0.135723","0.160439","-55.697586","171.817725","127.202669","0.238","0.31","139","-31.463"
"37","mildessa","0.519689","-0.667716","0.941356","-0.567716","1.041356","-0.607091","1.001981","SIDE","0.180291","0.876533","-0.042447","0.444279","-136.386719","158.204022","105.326651","0.16","0.112","145","-19.327"
"38","mildessa","0.579595","-0.598151","0.866241","-0.574713","0.889678","-0.563463","0.900928","SIDE","0.160852","0.937677","0.163598","0.261006","-120.076472","114.388807","173.952392","0.143","0.133","150","-18.322"
