"id","object","sdh_knuckle_joint","sdh_finger_12_joint","sdh_finger_13_joint","sdh_finger_22_joint","sdh_finger_23_joint","sdh_thumb_2_joint","sdh_thumb_3_joint","direction","qw","qx","qy","qz","pos-x","pos-y","pos-z","eps_l1","vol_l1","iterationstep","energy"
"0","ombia","0.440441","-0.384775","1.47718","-0.825712","1.261242","-0.743212","1.118742","SIDE","0.335533","-0.143777","-0.320395","0.874124","75.046127","206.451645","-144.977244","0.0602","0.11","189","-9.161"
"1","ombia","0.553587","-0.582248","0.81786","-0.327873","1.072235","-0.538498","0.86161","SIDE","0.012542","-0.841752","0.179875","-0.508863","-178.928224","124.706225","123.852701","0.0549","0.0287","173","-6.354"
"2","ombia","0.560733","-0.418023","0.842623","-0.253648","1.006998","-0.524898","0.735748","SIDE","0.101793","-0.849606","0.086675","-0.510191","-184.48297","93.067269","129.754124","0.0518","0.0198","193","-5.774"
"3","ombia","0.618315","-0.500614","0.950373","-0.561239","0.889748","-0.467489","0.983498","SIDE","0.004507","-0.748365","-0.090915","-0.657011","-210.3092","93.52885","37.565569","0.135","0.0362","165","-14.644"
"4","ombia","0.43175","-0.435227","1.015384","-0.564602","0.886009","-0.610227","0.840384","SIDE","0.264098","0.650784","0.430459","0.566955","-171.648484","112.146422","25.70743","0.0","0.0","26","-0.946"
"5","ombia","0.490273","-0.425425","0.865584","-0.288862","1.002147","-0.485425","0.805584","SIDE","0.370139","0.263944","0.885454","-0.096454","-124.603578","189.118187","117.230632","0.0","0.0","113","-0.852"
"6","ombia","0.587403","-0.550515","0.999458","-0.633015","0.916958","-0.673328","1.309458","TOP","0.330478","-0.33798","0.535529","-0.699831","-160.692307","215.971529","-54.024425","0.157","0.125","120","-19.259"
"7","ombia","0.6826","-0.403364","0.975203","-0.442739","0.935828","-0.459614","0.918953","SIDE","0.416241","-0.03929","-0.900767","-0.117554","155.066394","89.05601","153.672224","0.053","0.0222","135","-5.983"
"8","ombia","0.492397","-0.412677","0.890746","-0.282677","1.531996","-0.276427","1.039496","SIDE","0.433954","-0.177702","-0.878942","-0.086983","113.864844","62.735183","107.173078","0.143","0.164","178","-19.179"
"9","ombia","0.515707","-0.466382","0.894937","-0.393257","0.968062","-0.374507","0.986812","SIDE","0.995394","0.011616","-0.023586","0.092197","14.750157","133.549217","-210.093282","0.0849","0.0154","79","-8.911"
"10","ombia","0.463041","-0.433391","1.218569","-0.525266","1.418569","-0.221204","1.137319","SIDE","0.994298","-0.013079","0.104368","0.017523","-35.236821","87.839745","-157.584596","0.0852","0.134","156","-12.569"
"11","ombia","0.523917","-0.518506","1.570796","-0.365381","1.222878","-0.355068","1.025378","SIDE","0.909161","0.117567","0.399493","-0.003135","-116.348253","114.199268","-112.685308","0.104","0.081","180","-12.697"
"12","ombia","0.478515","-0.518408","1.081304","-0.457158","0.961304","-0.287158","1.061304","SIDE","0.970574","0.044266","0.235849","0.020042","-88.429816","113.547343","-155.779617","0.108","0.143","181","-17.627"
"13","ombia","0.42281","-0.410432","0.845756","-0.310119","0.946068","-0.459807","0.796381","SIDE","0.90689","0.075513","0.396199","0.121961","-154.758087","157.252446","-166.378864","0.0535","0.0168","187","-5.857"
"14","ombia","0.472504","-0.622386","0.801601","-0.419261","1.004726","-0.373324","1.050664","SIDE","0.985048","0.012738","0.074298","0.154911","-33.683543","87.505551","-208.315863","0.0764","0.021","16","-8.268"
"15","ombia","1.014888","-0.376595","1.1088","-0.461595","0.7938","-0.394095","0.8613","TOP","0.675452","0.352328","0.640595","-0.096268","-151.671202","249.424061","14.07876","0.122","0.0633","142","-14.065"
"16","ombia","0.593527","-0.479005","0.865098","-0.452442","0.891661","-0.45338","0.890723","SIDE","0.661137","0.159037","0.728276","-0.084958","-198.47309","192.940758","12.686663","0.134","0.0556","196","-15.129"
"17","ombia","0.494191","-0.523914","0.977279","-0.502664","1.342904","-0.237039","1.337904","SIDE","0.65266","0.023904","0.752837","0.081849","-159.978916","56.525556","21.042281","0.211","0.26","109","-28.903"
