"id","object","sdh_knuckle_joint","sdh_finger_12_joint","sdh_finger_13_joint","sdh_finger_22_joint","sdh_finger_23_joint","sdh_thumb_2_joint","sdh_thumb_3_joint","direction","qw","qx","qy","qz","pos-x","pos-y","pos-z","eps_l1","vol_l1","iterationstep","energy"
"0","salt","0.871786","-0.52906","1.269649","-0.46406","1.449649","-0.39531","1.129649","SIDE","0.028343","-0.046321","-0.996138","-0.068998","-2.632292","73.251262","154.480726","0.239","0.998","53","-65.756"
"1","salt","0.394457","-0.357714","1.479578","-0.305839","1.104578","-0.387714","1.182078","SIDE","0.859328","0.086846","0.503957","0.006445","-131.158745","134.318987","-85.069615","0.23","0.586","167","-47.861"
"2","salt","0.906443","-0.493708","1.063588","-0.376208","0.949526","-0.332146","0.977338","SIDE","0.993888","0.033498","0.011895","0.104517","1.688376","114.095763","-165.213811","0.119","0.523","138","-28.497"
"3","salt","0.697485","-0.48305","0.856023","-0.474925","0.864148","-0.376487","0.962586","SIDE","0.998371","-0.013382","-0.034678","0.043284","20.430913","95.094758","-226.404551","0.101","0.0883","110","-23.942"
"4","salt","0.936505","-0.349959","0.945371","-0.489334","0.805996","-0.468084","0.827246","SIDE","0.276834","0.279344","-0.002226","0.919415","-100.122872","124.938372","-146.930955","0.124","0.147","188","-21.796"
"5","salt","0.726662","-0.416545","0.890168","-0.33217","1.238293","-0.34092","0.962043","SIDE","0.21717","0.662805","-0.060654","0.714037","-141.935599","170.625571","-16.136274","0.169","0.36","189","-30.953"
"6","salt","1.091632","-0.48006","1.006813","-0.465841","1.021032","-0.584435","0.902438","SIDE","0.279645","-0.206739","-0.821653","0.451601","127.330643","246.166576","86.785691","0.0618","0.123","196","-15.933"
"7","salt","0.507268","-0.433452","1.035573","-0.124077","1.184323","-0.332827","0.975573","SIDE","0.112874","-0.131187","0.187041","0.966988","45.175117","81.259791","-174.452384","0.0509","0.0417","158","-4.442"
"8","salt","0.542112","-0.434644","1.300252","-0.419644","1.277752","-0.387144","1.210252","SIDE","0.999903","0.0013","-0.001104","-0.013814","14.742199","93.120503","-154.767982","0.255","1.04","181","-67.745"
"9","salt","0.549642","-0.431655","1.236153","-0.490405","1.217403","-0.31728","1.167403","SIDE","0.831153","0.029693","-0.555246","-0.00222","155.141328","108.58728","-52.7629","0.204","0.813","126","-52.154"
"10","salt","0.543298","-0.400214","0.947462","-0.491464","0.856212","-0.332089","1.015587","SIDE","0.250749","-0.228863","-0.914742","0.219077","140.613031","181.999028","175.833487","0.0359","0.0412","187","-8.792"
"11","salt","0.42527","-0.411726","1.347202","-0.596726","0.805952","-0.379226","1.025952","SIDE","0.527036","0.276652","-0.757761","0.267385","117.316576","225.805495","55.008375","0.183","0.651","194","-44.291"
"12","salt","0.602641","-0.396843","0.860744","-0.431843","0.825744","-0.468718","0.788869","SIDE","0.482229","0.22128","-0.799823","0.280667","138.881713","231.81831","91.70739","0.0531","0.153","101","-16.172"
"13","salt","0.709753","-0.363455","1.418499","-0.554705","0.890999","-0.298455","1.142249","SIDE","0.943793","0.315278","0.098578","-0.011712","-28.87401","205.821934","-115.84604","0.141","0.364","120","-32.022"
"14","salt","0.744352","-0.314369","0.986219","-0.471557","0.829031","-0.499682","0.827156","SIDE","0.688889","0.204066","-0.683504","0.128887","167.077593","174.943165","22.662924","0.0937","0.301","103","-30.037"
"15","salt","0.541919","-0.425514","0.840527","-0.413952","0.852089","-0.465202","0.800839","SIDE","0.629254","0.206525","-0.71011","0.239019","172.359284","229.499414","34.560086","0.0221","0.118","171","-16.555"
"16","salt","0.51633","-0.300757","1.075809","-0.419507","0.847059","-0.466382","0.833934","SIDE","0.667394","0.234812","-0.646382","0.285727","129.295037","222.189092","2.546243","0.187","0.651","127","-48.173"
"17","salt","0.499354","-0.437561","1.519949","-0.570061","0.879949","-0.438811","1.078699","SIDE","0.561692","0.236375","-0.745397","0.270208","121.870401","214.587067","43.452279","0.151","0.65","190","-43.021"
"18","salt","0.814169","-0.255789","1.184966","-0.408289","0.862466","-0.490477","1.037466","TOP","0.846441","0.321617","-0.359386","0.225704","89.005871","225.533705","-77.093252","0.139","0.453","107","-30.442"
