"id","object","sdh_knuckle_joint","sdh_finger_12_joint","sdh_finger_13_joint","sdh_finger_22_joint","sdh_finger_23_joint","sdh_thumb_2_joint","sdh_thumb_3_joint","direction","qw","qx","qy","qz","pos-x","pos-y","pos-z","eps_l1","vol_l1","indicee"
"0","fanta-small","0.755","-0.180796303149","1.1780000201","-0.156796305268","1.57079632679","-1.1447963196","1.64674527042e-15","SIDE","0.693739074098","0.124862261135","-0.147856720792","0.693739074098","2.78596904478","224.677233407","-121.299304017","0.001877567","0.000033451","34"
"1","fanta-small","0.0","-0.867796316222","1.57079632679","-0.257796306806","1.57079632679","-1.12679631874","-7.24339669136e-16","SIDE","0.693739074098","0.124862261135","-0.147856720792","0.693739074098","2.86253939429","225.585373371","-123.519533624","0.000566725","0.000042774","40"
"2","fanta-small","0.755","-0.102796302703","0.985000017448","-0.145796304746","1.54479632882","-0.0427963031132","0.00400000018999","SIDE","-0.490483242011","-0.49661474643","0.521752980097","0.490483242011","149.203294956","213.357722231","4.87787597442","0.000138590","0.000000402","46"
"3","fanta-small","0.755","-0.406796307364","1.57079632679","-0.304796305779","1.57079632679","0.0362036973794","0.26800000621","SIDE","0.702527838287","0.103251968395","0.0474162829341","-0.702527838287","7.46215680418","238.469347993","-115.90211445","0.001690159","0.000003361","76"
"4","fanta-small","0.755","-0.226796305333","1.26900002116","-0.169796305886","1.57079632679","-0.0277963024008","0.00700000033248","SIDE","0.702527838287","0.103251968395","0.0474162829341","-0.702527838287","9.41640227228","243.742727283","-140.168974476","0.000056791","0.000000013","77"
"5","fanta-small","0.755","-0.180796303149","1.11000001687","-0.260796306948","1.57079632679","0.0372036974269","0.00400000018999","SIDE","-0.490483242011","-0.49661474643","0.521752980097","0.490483242011","124.318588367","213.971996969","3.93865047196","0.000100554","0.000000466","83"
"6","fanta-small","0.0","-0.103796302751","1.57079632679","-0.560796311419","1.57079632679","0.0982037003243","1.57079632679","SIDE","0.708865979641","0.138904321261","0.691530630155","-9.7887246718e-17","-117.014482019","236.752427717","-0.753263860994","0.000760083","0.000004079","104"
"7","fanta-small","0.755","-0.0197963020208","0.663000011933","-0.00379630126083","1.28400002187","-1.18679631833","1.05182742475e-15","SIDE","0.702527838287","0.0474162829341","-0.103251968395","0.702527838287","9.98125848458","245.266947807","-147.183081384","0.005098174","0.000029257","136"
"8","fanta-small","0.755","-0.219796305001","1.2510000203","-0.175796302911","1.57079632679","-1.04979631835","-7.43965824869e-16","SIDE","0.689592539727","0.150002703716","-0.1625529058","0.689592539727","1.34860733227","245.286492066","-119.566742101","0.000416906","0.000043585","137"
"9","fanta-small","0.0","-1.14679631969","1.57079632679","-0.180796303149","1.57079632679","0.133203698727","1.57079632679","SIDE","1.95774493436e-16","0.691530630155","-0.138904321261","0.708865979641","-122.710635867","237.896585835","-0.782209016642","0.000301626","0.000007275","149"
"10","fanta-small","0.0","-0.411796307601","1.35500002198","-0.112796303178","1.57079632679","0.0762036992793","1.45500002347","SIDE","2.61031496037e-16","-0.0394817918218","-0.106538542224","0.99352439685","9.46347362331","243.86974566","-140.753483385","0.001195583","0.000014096","152"
"11","fanta-small","0.0","-0.198796304004","0.874000015436","-0.990796315545","1.57079632679","-0.819796313942","-5.03545417133e-16","SIDE","0.126031549362","0.779251988697","0.600831453274","-0.126031549362","5.61335115487","224.784357238","154.644826327","0.005564601","0.000044416","154"
"12","fanta-small","0.0","-0.110796303083","1.57079632679","-0.434796308694","1.31500002008","0.0702036989944","1.40900002129","SIDE","0.99352439685","0.106538542224","-0.0394817918218","6.46031127315e-17","9.59684245121","244.229631062","-142.40959196","0.003763402","0.000014526","156"
"13","fanta-small","0.0","-0.903796314672","0.0","0.188203701339","1.31500002008","-0.388796306509","1.57079632679","SIDE","0.488533923891","0.680861432329","-0.243098581613","-0.488533923891","141.839390531","256.504800799","6.09211071678","0.002822005","0.000019150","186"
"14","fanta-small","0.755","-0.113796303226","0.780000014231","-0.215796304811","1.22700001916","-0.939796316382","0.0","SIDE","0.602990056266","0.482112766209","0.200930994986","0.602990056266","-132.003539815","221.300585121","-72.5754983145","0.005231815","0.000041231","190"
"15","fanta-small","0.0","-0.806796313324","1.57079632679","-0.0547963036832","0.660000011791","-0.793796312707","0.0","SIDE","0.515987313497","-0.275025156564","-0.625999479135","0.515987313497","148.738038834","238.722796388","-9.2837544633","0.002851308","0.000031101","197"
"16","fanta-small","0.0","-0.634796311674","1.57079632679","-1.57079632679","1.57079632679","-0.0707963011835","1.47200002428","SIDE","2.36577993723e-16","-0.00887433299876","-0.221010190987","0.975231122193","1.3139892272","244.424347946","-117.762439021","0.002236091","0.000013561","198"
"17","fanta-small","0.755","-0.126796303843","1.0400000168","-0.847796315272","-7.42426601905e-16","-0.0747963013735","0.30400000466","SIDE","0.690697150473","0.283320687257","-0.665332123454","-2.41109223601e-16","140.067200804","226.022559882","5.53403593523","0.000720945","0.000033914","200"
"18","fanta-small","0.0","-0.215796304811","1.57079632679","-0.896796314339","1.57079632679","0.120203701369","1.57079632679","SIDE","0.99352439685","0.106538542224","-0.0394817918218","6.28570826577e-17","7.64259698311","238.956251772","-118.142731935","0.000262474","0.000005830","210"
"19","fanta-small","0.0","-0.579796309062","1.27700002154","-0.0977963024659","1.57079632679","0.0802036994693","1.32000002032","SIDE","1.76197044092e-16","0.691530630155","-0.138904321261","0.708865979641","-147.13252629","242.802089605","-0.906309495375","0.002052172","0.000014159","214"
"20","fanta-small","0.0","-1.57079632679","1.57079632679","-0.666796313194","1.57079632679","-0.087796301991","1.54079632863","SIDE","0.975231122193","0.221010190987","-0.00887433299876","-1.97444791754e-16","1.28283293827","243.648418378","-116.138566544","0.002391741","0.000013921","219"
"21","fanta-small","0.755","-0.434796308694","1.57079632679","0.00120369897666","0.478000009665","-0.797796312897","0.0","SIDE","0.515987313497","-0.275025156564","-0.625999479135","0.515987313497","148.0871546","238.469258756","-9.23827431893","0.007672646","0.000030414","222"
"22","fanta-small","0.0","-1.0087963164","1.57079632679","-0.209796304526","0.968000016641","-0.890796314054","0.0","SIDE","0.621040267803","-0.158277886683","-0.451182980752","0.621040267803","122.501380173","226.260140296","-89.3567295953","0.005757414","0.000049936","224"
"23","fanta-small","0.0","-0.0567963037782","1.57079632679","0.0582036984244","0.995000017923","-0.583796309252","1.43300002243","SIDE","1.59868862824e-16","0.400027482325","0.911476878035","-0.0958536081364","9.44419868313","239.599491453","143.587008811","0.001161017","0.000014501","225"
"24","fanta-small","0.0","-0.819796313942","0.0","-0.252796306568","1.07900001865","-0.391796306651","1.53279632825","SIDE","0.333654648861","0.833894593531","-0.286302213519","-0.333654648861","118.369400355","225.089730212","87.8928480404","0.000941459","0.000036620","227"
"25","fanta-small","0.0","-0.622796311104","1.57079632679","-0.775796311852","1.57079632679","-0.170796302674","1.57079632679","SIDE","0.981095207338","0.192841441479","-0.0162595383527","-3.2533959721e-16","2.81149249462","224.979946729","-122.039380553","0.001576694","0.000008045","229"
"26","fanta-small","0.0","-0.985796315307","1.57079632679","-0.502796308664","1.57079632679","-0.0887963020385","1.57079632679","SIDE","0.20571342234","0.977030732925","-0.0556141599622","-2.00632125663e-16","1.76144516864","232.105687856","114.301745059","0.002603606","0.000008261","237"
"27","fanta-small","0.755","-0.0347963027332","0.928000014741","-0.00779630145082","1.57079632679","-1.57079632679","0.599000012153","SIDE","0.702527838287","0.0474162829341","-0.103251968395","0.702527838287","8.02701301648","239.993568517","-122.916221358","0.000032463","0.000032734","240"
"28","fanta-small","0.755","-0.962796317474","0.0","-0.129796303986","0.765000013518","-0.391796306651","1.53279632825","SIDE","0.333654648861","0.833894593531","-0.286302213519","-0.333654648861","118.369400355","225.089730212","87.8928480404","0.000497542","0.000066701","244"
"29","fanta-small","0.755","-0.209796304526","1.05600001756","-0.111796303131","0.828000013251","-0.908796314909","0.0","SIDE","0.621040267803","-0.158277886683","-0.451182980752","0.621040267803","120.684581553","225.386992241","-88.0540959543","0.002935749","0.000038041","247"
"30","fanta-small","0.755","-0.099796302561","0.715000011143","-0.087796301991","0.978000017116","-0.956796317189","0.0","SIDE","0.693739074098","0.124862261135","-0.147856720792","0.693739074098","3.58070541442","234.102968861","-144.343435705","0.002734432","0.000045336","250"
"31","fanta-small","1.66533453694e-16","0.53620370483","0.641000010888","0.502203706475","0.70000001369","-1.57079632679","0.599000012153","SIDE","0.702527838287","0.0474162829341","-0.103251968395","0.702527838287","8.02701301648","239.993568517","-122.916221358","0.004947466","0.000056150","253"
"32","fanta-small","0.755","-0.0907963021335","0.698000013595","-0.421796308076","1.56679632986","-0.766796314684","0.0","SIDE","0.499422485015","0.641459839341","0.299472264885","0.499422485015","-153.089148913","222.58486657","0.0638613218143","0.003761651","0.000060923","258"
"33","fanta-small","0.755","-1.57079632679","1.57079632679","-0.471796307191","1.57079632679","-0.276796304449","1.54379632877","SIDE","0.719676072056","0.270396456426","0.639493633793","-1.15700285281e-16","-124.742837827","241.42368086","-4.36699439405","0.002530691","0.000013993","267"
"34","fanta-small","0.0","0.0322036971895","1.54479632882","-0.0687963043482","1.57079632679","-0.691796311122","1.57079632679","SIDE","0.0677787363144","0.927373626766","0.36164933594","-0.0677787363144","7.58757845225","235.369116075","119.821887659","0.004193329","0.000012670","272"
"35","fanta-small","0.0","-0.206796304384","1.00400001509","-1.00379631616","1.57079632679","-0.908796314909","1.83370033541e-16","SIDE","0.602990056266","0.482112766209","0.200930994986","0.602990056266","-135.380862244","222.690893556","-74.4384892131","0.006588747","0.000045282","276"
"36","fanta-small","0.0","-0.713796312167","1.57079632679","-0.760796314399","1.57079632679","-0.242796306093","1.57079632679","SIDE","2.1686203394e-17","-0.22299251408","-0.169876166981","0.95990438407","56.8386017483","212.058188707","-114.418054007","0.000820125","0.000007669","278"
"37","fanta-small","0.0","-0.273796304306","1.57079632679","-1.3157963212","1.57079632679","-0.0947963023234","1.57079632679","SIDE","0.690891300846","0.309545080293","-0.653338391404","-1.20520734224e-16","109.240306914","241.059686769","4.45494032366","0.003453869","0.000005949","280"
"38","fanta-small","0.0","-0.101796302656","1.57079632679","0.0972037002768","1.47300002433","-1.04379631806","1.57079632679","SIDE","1.67481665816e-16","0.400027482325","0.911476878035","-0.0958536081364","7.53389674036","235.246800381","119.134750696","0.004751649","0.000010620","281"
"39","fanta-small","0.0","-0.249796306426","1.0590000177","-0.813796313657","0.0","-0.346796307774","1.30300001951","SIDE","0.2733453756","-0.334183162496","0.859584914468","-0.2733453756","-110.154509562","202.407643936","112.653422049","0.002010096","0.000029863","286"
